5pm Seaside | 5pm Seaside,/en/movie-tiff/movie/14637,"On his 40th birthday, Nikos, a solitary truck driver, arrives on a remote beach. He’s there to meet his former lover, Christos, whom he hasn’t seen since their military days."
All That Remains | All that remains,/en/movie-tiff/movie/14657,"An essay film about separation, drawing on the director’s experience as a child of divorced parents. We observe them in their workspace, as the director narrates the story of their encounter and separation as a natural progression of life, despite the trauma that inevitably follows her."
Are You Okay? | Are Υou Οkay?,/en/movie-tiff/movie/14599,"This bystander story is told through the perspective of a 15-year-old girl, Raquelle, who witnesses her classmate Noah being bullied. When doing the right thing transforms Raquelle from bystander to victim, she finds herself trapped in the same emotional quicksand as her peers. At an age when social acceptance weighs heavy and the stress of social media follows you home, Raquelle and Noah learn that no one can make it through alone. Are You Okay? explores the impact that reaching out can have on someone in crisis."
Bigman | STRIJDER,/en/movie-tiff/movie/14502,"Best friends Dylan and Youssef dream of becoming professional football players. One day, an unexpected event changes everything for Dylan, and he has to come to terms with his new life. He does not want to let go of his dream and is still determined to win the Touzani Cup together with Youssef. Thanks to the help of skater girl Maya (his crush!) he learns to play football in a completely new way. A film about true friendship, not giving up, and striving to win."
Cactus | Κάκτος,/en/movie-tiff/movie/14644,Stavros is trying to connect both with his environment and with himself.
Comedy Queen | Comedy Queen,/en/movie-tiff/movie/14491,"Thirteen-year-old Sasha has decided to become a stand-up comedian. Most of all, she wants to amuse her dad, who cries in the shower when he thinks no one is listening. At home, everything reminds her of her mother, who has passed away. However, Sasha refuses to cry. Secretly, she writes a list of everything she must do to survive her grief: shave off her hair, stop reading books, turn down the world's cutest puppy, and most importantly, become the one and only Comedy Queen."
Dad’s Sneakers | Папині кросівки (Papyni Krosivky),/en/movie-tiff/movie/14593,13-year-old Sasha lives in a boarding school for children deprived of parental care. He is one of the luckiest – a family has finally agreed to adopt him. Today he will move to America forever – but there’s something that won’t let him go.
Daphne | Δάφνη,/en/movie-tiff/movie/14641,"Daphne switches from one sexual partner to the next, but does not seem to be satisfied, at least not with what she thought she needed. How far would she go to feel some affection?"
Dounia and The Princess of Aleppo | Dounia et La Princesse D'Alep,/en/movie-tiff/movie/14533,"A few nigella seeds tucked in the palm of her hand, six-year-old Dounia leaves Aleppo with the Princess of Aleppo’s help and travels towards a new world. A heart-warming animation centered around a little girl bursting with confidence, in herself and in life; an ode to the power of optimism against all odds and hardships."
Gaja’s World – This is My Planet! | Gajin svet 2,/en/movie-tiff/movie/14558,"Fourteen-year-old Gaja, who lives in a separate family, confronts envious classmates, experiences identity theft on a social network, and learns what true friendship means. During holidays, her father takes Gaja and her teenage sister to a camp by the sea, but the vacation has not yet begun. With the assistance of her friend and a police inspector, Gaja rescues the owner of a bar from blackmailers and reunites the family. A modern and dynamic youth romantic comedy with elements of crime fiction, full of humor, emotion, and suspense, tackling common, everyday problems."
Harta | Harta,/en/movie-tiff/movie/14612,"Carmela, a 12-year-old girl, is obliged to meet her father at a family meeting center on the day of her birthday, due to the gender-violence sentence her mother has against him. Α film born as a response to the violence that women experience on an everyday basis, aiming to give a voice to the voiceless."
How I Learned to Fly | Leto kada sam naucila da letim,/en/movie-tiff/movie/14492,"A seemingly boring vacation with two old ladies turns into a life-changing experience for 12-year-old Sofia as she kisses a boy, reunites with her estranged family, and faces mortality on an idyllic island in the Mediterranean."
Hussies | Τσουλάκια,/en/movie-tiff/movie/14652,"A coming-of-age story about two sisters leading their lives in different directions, who are summoned to a night’s call of decision making. In a frantic attempt to truffle out money, they come up against visions of both a traumatic past and a disturbing reality, while realizing how difficult it is for a family to make ends meet."
It’s a Long Road | Όλα είναι δρόμος,/en/movie-tiff/movie/14539,"A film made up of three different stories, each one involving a person who is approaching a critical moment in his life. A Silver Coin on the Lips: While at a dig in Macedonia, an architect, whose son shot himself one year earlier while doing his military service, discovers an unlooted tomb that contains the remains of an officer of the Hellenistic period. The Last of the Lesser Whites: a group of ornithologists go to the Evros River Delta to find, with the help of an elderly game warden, the last lesser white-fronted goose which has sought refuge there. When the goose is shot by a poacher, the game warden will pay him back in his own coin. Vietnam: a middle-aged factory owner, distraught over the fact that his wife has taken the children and left him, ends up at a seamy bouzouki joint in the middle of nowhere, which he proceeds to literally demolish."
KIDDO | KIDDO,/en/movie-tiff/movie/14648,Four adolescents are trapped in a narrative about husbands and wives as they slide toward entropy.
Last Sigh | Τελευταία Πνοή,/en/movie-tiff/movie/14642,A woman is weakened. A man tries to approach her. Both are surrounded by a deadly virus.
